dtlz5-4obj-rvea-SBX-NUM ERROR
dtlz3-3obj-rvea-Local-NUM 26.866989518383267 26.86698951838326
dtlz3-3obj-rvea-Local-PM 82.18589052721163 82.18589052721163
dtlz3-3obj-ibea-SBX-BPM 3.144324449653852 3.143804871118505
dtlz7-3obj-nsga3-Balpha-NUM 0.4640649998952331 0.4369134257312691
dtlz3-4obj-rvea-Local-NUM 18.563075378098265 18.563075378098272
dtlz3-3obj-ibea-SBX-MPTM 3.5352282262980785 3.5044110833208597
dtlz3-3obj-ibea-SBX-NUM 2.426827046858916e-38 0.0
dtlz1-4obj-nsga3-SBX-BPM 1.0976065802382682 1.0875654556766081
dtlz3-3obj-ibea-SBX-PM 2.4946609062700578 2.494245654320684
dtlz7-3obj-nsga3-Balpha-PM 0.47149531246556037 0.4472891550453995
dtlz3-4obj-rvea-Local-PM 19.41283220216575 19.412832202165756
dtlz3-3obj-ibea-Balpha-BPM 132.9177251896524 132.91772518965237
dtlz7-4obj-nsga3-Balpha-NUM 0.8831085285529238 0.7587778526055764
dtlz3-3obj-ibea-Balpha-MPTM 137.07367575061542 137.07366147434982
dtlz3-4obj-ibea-SBX-BPM 0.22053003637376664 0.2107054025291103
dtlz3-3obj-ibea-Balpha-NUM 143.1427167407783 143.14172115012175
dtlz3-3obj-ibea-Balpha-PM 137.3643305334482 137.36177226254102
dtlz3-4obj-ibea-SBX-MPTM 1.0656564793581933 0.9635328005430489
dtlz3-3obj-ibea-Single-BPM 3.148233300354315 3.1477261375816874
dtlz1-4obj-nsga3-SBX-MPTM 0.9022117230308496 0.8822474626945432
dtlz3-4obj-ibea-SBX-NUM 0.0032595571202439864 2.0992712266629557e-20
dtlz3-3obj-ibea-Single-MPTM 4.108121868285759 4.107906905424811
dtlz7-4obj-nsga3-Balpha-PM 0.8609895578234716 0.7183883520578577
dtlz3-4obj-ibea-SBX-PM 1.601833010847307 1.517729360551633
dtlz3-3obj-ibea-Single-NUM 0.9836278603194013 0.9830106576404272
dtlz3-4obj-ibea-Balpha-BPM 13.265140083010158 13.263189536762205
dtlz3-3obj-ibea-Single-PM 5.609880983847714 5.60912568004014
dtlz3-4obj-ibea-Balpha-MPTM 13.688799711405542 13.675200610079322
dtlz3-3obj-ibea-Local-BPM 15.494979434459854 15.488370451666869
dtlz2-3obj-ibea-Balpha-BPM 0.3711184268241721 0.355001296034266
dtlz3-3obj-ibea-Local-MPTM 65.00618559337734 65.00618559337735
dtlz3-4obj-ibea-Balpha-NUM 13.688799711405542 13.675200610079322
dtlz3-3obj-ibea-Local-NUM 15.814014681623961 15.814014681623963
dtlz1-4obj-ibea-Single-NUM 0.3550025768316939 0.3545124017218214
dtlz3-4obj-ibea-Balpha-PM 13.688799711405542 13.675200610079322
dtlz3-3obj-ibea-Local-PM 76.4187538544051 76.41875385440508
dtlz1-4obj-nsga3-SBX-NUM 0.038605138999738386 0.030843932813890015
dtlz3-4obj-ibea-Single-BPM 0.3609999630410778 0.3468641455685901
dtlz3-4obj-ibea-Single-MPTM 0.5497793020610481 0.525841101810397
dtlz3-4obj-ibea-Single-NUM 0.6160402560793743 0.6020742726054684
dtlz1-4obj-nsga3-SBX-PM 2.1449270939541836 2.144915886183538
dtlz3-4obj-ibea-Single-PM 1.712302446627315 1.6380143895145294
dtlz1-4obj-ibea-Single-PM 0.6509310251373138 0.645574836461967
dtlz1-4obj-nsga3-Balpha-BPM 21.126627004598745 21.126627004598753
dtlz3-4obj-ibea-Local-BPM 16.955645289482284 16.954585706006913
dtlz1-4obj-ibea-Local-BPM 14.767879478107849 14.767879478107842
dtlz2-3obj-ibea-Balpha-MPTM 0.3574615433302075 0.33002465897189076
dtlz3-4obj-ibea-Local-MPTM 15.993565115532972 15.993565115532967
dtlz1-4obj-nsga3-Balpha-MPTM 25.17472195032789 25.173082232088348
dtlz3-6obj-rvea-Local-NUM 0.15381005197798908 0.13386170008200585
dtlz1-4obj-ibea-Local-MPTM 14.328070470048248 14.328070470048244
dtlz3-4obj-ibea-Local-NUM 15.246422356053449 15.246422356053456
dtlz1-4obj-nsga3-Balpha-NUM 20.14658201141351 20.146582011413503
dtlz1-4obj-ibea-Local-NUM 11.621040439848732 11.62104043984873
dtlz3-4obj-ibea-Local-PM 19.227699866665468 19.22481147174565
dtlz1-4obj-nsga3-Balpha-PM 20.525136562536677 20.52513656253668
dtlz1-3obj-nsga3-SBX-BPM 0.09314706782755154 0.08228899600335363
dtlz1-4obj-ibea-Local-PM 14.439858341584207 14.43985834158421
dtlz2-3obj-ibea-Balpha-NUM 0.3701985916043373 0.35436453344032615
dtlz2-4obj-ibea-Balpha-BPM 0.6773377133624422 0.6639955900528436
dtlz1-4obj-nsga3-Single-BPM 0.9823330814111052 0.9823225063454005
dtlz5-3obj-rvea-SBX-NUM 0.02190716012180261 0.013279427326315436
dtlz2-3obj-ibea-Balpha-PM 0.37502854540132613 0.35993764330276823
dtlz1-4obj-nsga3-Single-MPTM 0.3197799353137383 0.3170326962686743
dtlz1-4obj-nsga3-Single-NUM 1.3116800818250545 1.3116799117971878
dtlz1-4obj-nsga3-Single-PM 1.376365951588407 1.3733739123244326
dtlz5-3obj-rvea-SBX-PM 0.041767094093210104 0.03853746471593969
dtlz1-4obj-nsga3-Local-BPM 12.69811786475457 12.698117864754566
dtlz3-6obj-rvea-Local-PM 0.6795318417178712 0.6785925670432957
dtlz1-4obj-nsga3-Local-MPTM 10.657843837502469 10.65663339364494
dtlz5-3obj-rvea-Balpha-BPM 0.34437249567611955 0.3201331497052655
dtlz1-4obj-nsga3-Local-NUM 8.652485514064775 8.652485514064773
dtlz2-4obj-ibea-Balpha-MPTM 0.6749326811907748 0.6614824565646161
dtlz1-3obj-nsga3-SBX-MPTM 0.23916837895480136 0.20462056845934232
dtlz5-3obj-rvea-Balpha-MPTM 0.3250439723379005 0.31386514376425795
dtlz1-4obj-nsga3-Local-PM 15.886656877303185 15.883958223475686
dtlz7-4obj-nsga3-Single-BPM 0.22999404630127862 0.11691114822808543
dtlz7-3obj-nsga3-Single-BPM 0.025293803801290635 0.018126993302355805
dtlz1-4obj-rvea-SBX-BPM 2.9255581557360313 2.9254907488983783
dtlz5-3obj-rvea-Balpha-NUM 0.3533684384269351 0.33918283788488224
dtlz1-4obj-rvea-SBX-MPTM 2.5856333494961135 2.5716872200415857
dtlz5-3obj-rvea-Balpha-PM 0.3527759383364795 0.34143246186350196
dtlz1-4obj-rvea-SBX-NUM 2.115226683351894 2.114367820151875
dtlz1-4obj-rvea-SBX-PM 2.053841660775938 2.0495651317282935
dtlz1-4obj-rvea-Balpha-BPM 26.879793000608597 26.87685453311959
dtlz1-6obj-nsga3-SBX-BPM 0.1656225048571955 0.09430069466897646
dtlz1-6obj-ibea-Single-NUM 0.0797948545618232 0.0392976825167262
dtlz1-4obj-rvea-Balpha-MPTM 26.879793000608597 26.87685453311959
dtlz1-4obj-rvea-Balpha-NUM 30.272022676541262 30.271942512973755
dtlz2-4obj-ibea-Balpha-NUM 0.676885862539192 0.6637552548204365
dtlz1-4obj-rvea-Balpha-PM 27.494285227525005 27.494274981463988
dtlz1-3obj-ibea-Single-NUM 0.020317321752510525 0.012143963174123041
dtlz7-3obj-nsga3-Single-MPTM 0.09621320389642962 0.09258199487479882
dtlz1-4obj-rvea-Single-BPM 0.7017052277517171 0.7016955651805499
dtlz5-3obj-rvea-Single-BPM 0.006685762679385422 0.003644350688994734
dtlz1-4obj-rvea-Single-MPTM 0.3341180439132688 0.3300490475197115
dtlz7-4obj-nsga3-Single-MPTM 0.22439172492710668 0.21635476849927682
dtlz5-4obj-rvea-SBX-PM 0.046614945350515115 0.016063299378579577
dtlz1-4obj-rvea-Single-NUM 1.797094498105558 1.7967387388499345
dtlz3-6obj-ibea-SBX-BPM 0.027289548859440065 0.017543037223038696
dtlz2-4obj-ibea-Balpha-PM 0.6776434432964403 0.6641904290456145
dtlz1-3obj-ibea-Single-PM 0.17439038002482032 0.1695378925693853
dtlz5-3obj-rvea-Single-MPTM 0.008509940827705275 0.00464426485175506
dtlz1-4obj-rvea-Single-PM 4.33411709474626 4.334117094746263
dtlz1-3obj-ibea-Local-BPM 6.465250101239858 6.465250101239856
dtlz1-4obj-rvea-Local-BPM 15.295591927740055 15.295591927740057
dtlz1-4obj-rvea-Local-MPTM 6.3369144536152096 6.336911949696905
dtlz1-3obj-ibea-Local-MPTM 8.796144610164388 8.795332899050855
dtlz1-4obj-rvea-Local-NUM 17.216017021406604 17.21601702140661
dtlz1-3obj-ibea-Local-NUM 4.290435789364513 4.290435789364515
dtlz1-4obj-rvea-Local-PM 25.064189333637458 25.064189333637486
dtlz1-4obj-ibea-SBX-BPM 0.7269068594872683 0.6930466928539514
dtlz1-3obj-ibea-Local-PM 18.297877386906826 18.29787738690685
dtlz1-4obj-ibea-SBX-MPTM 0.5472416940777742 0.46316768284541154
dtlz5-3obj-rvea-Single-NUM 0.011467969778155724 0.006775492306097775
dtlz7-3obj-nsga3-Single-NUM 0.14443263309205587 0.14227366551202805
dtlz1-4obj-ibea-SBX-NUM 0.38132387375989796 0.3806857832167675
dtlz1-4obj-ibea-SBX-PM 1.2078645083527997 1.170687882611166
dtlz2-6obj-ibea-Balpha-BPM 0.3972107751901718 0.3164117282482264
dtlz1-4obj-ibea-Balpha-BPM 21.126627004598745 21.126627004598753
dtlz5-3obj-rvea-Single-PM 0.015987881521954316 0.011716193010052415
dtlz1-4obj-ibea-Balpha-MPTM 25.17472195032789 25.173082232088348
dtlz1-4obj-ibea-Balpha-NUM 20.14658201141351 20.146582011413503
dtlz1-4obj-ibea-Balpha-PM 20.525136562536677 20.52513656253668
dtlz1-4obj-ibea-Single-BPM 1.2116310637788021 1.2116083666243946
dtlz1-4obj-ibea-Single-MPTM 0.10593223384772939 0.025480737286719297
dtlz1-6obj-ibea-Single-PM 0.11520446446011372 0.03321784545336801
dtlz3-6obj-ibea-SBX-MPTM 0.03384836281723049 0.026145380866214797
dtlz5-3obj-rvea-Local-BPM 0.009715445941726412 0.007673838602127335
dtlz1-6obj-ibea-Local-BPM 11.42802596080611 11.427836626924464
